Age;Monthly Salary;Have you ever been refused a U.S. Visa?;Is your mother in the U.S.?;Do you have any immediate relatives, not including parents in the U.S.?;Do you have any other relatives in the United States?;MARRIED;COMMON LAW MARRIAGE;SINGLE;WIDOWED;Ha_Viajado_Binario;y
0.01;-0.23;0;0;0;0;0;0;1;0;0;0
0.21;-1.11;0;0;1;1;0;1;0;0;1;0
-1.69;1.41;0;1;1;0;0;1;1;0;0;0
0.75;-0.7;1;1;1;1;0;1;0;1;0;0
0.55;0.36;1;0;0;0;1;1;1;1;0;0
1.3;-1.34;1;0;0;0;1;1;0;0;0;0
-1.56;1.26;0;0;1;0;0;1;0;0;0;0
1.16;-0.41;0;1;1;1;1;0;0;1;1;0
-0.67;1.24;1;0;1;1;0;1;0;1;1;0
-0.2;-0.38;0;1;0;1;0;0;0;0;0;1
1.23;-1.63;0;0;1;1;1;0;0;1;0;0
0.28;-0.47;0;0;0;1;0;1;0;1;0;0
-0.13;-1.62;1;0;1;1;0;1;1;1;1;0
-0.74;-1.61;0;0;0;0;1;0;1;1;1;0
-1.22;0.08;0;1;0;1;0;1;0;1;0;0
-0.27;-0.11;1;0;0;1;1;0;0;1;1;0
1.7;0.64;0;0;0;0;0;0;0;0;1;0
-0.95;0.62;1;1;0;0;1;1;1;0;0;0
-1.35;0.13;0;0;0;0;1;1;1;0;0;0
0.82;-1.59;0;1;0;0;1;0;0;0;1;0
0.14;0.37;0;0;0;1;1;0;1;0;0;0
-0.33;-0.07;1;1;0;1;0;0;0;0;0;0
0.48;-1.13;1;1;0;1;0;1;1;1;0;0
0.62;0.42;0;0;1;0;1;1;1;0;1;0
1.5;0.83;1;0;0;0;1;0;1;1;1;0
0.75;1.27;0;0;0;0;1;0;1;0;1;0
1.16;1.29;0;1;1;0;1;0;1;0;1;0
-0.47;0.8;0;0;1;0;0;1;1;0;1;0
-0.95;0.45;0;0;0;1;1;1;1;0;0;0
-0.2;0.52;1;0;0;0;0;0;0;1;0;0
-1.29;0.96;0;1;1;0;1;1;0;1;1;0
1.36;-1.36;0;0;1;0;0;1;0;0;1;0
-1.29;-0.54;1;0;0;1;1;0;0;1;1;0
0.35;-1.41;0;0;1;0;0;1;1;0;0;0
-0.88;1.17;1;1;1;0;0;1;1;0;0;0
-0.27;-0.57;0;0;0;1;1;0;1;1;0;0
-0.88;-1.62;1;1;0;0;1;0;1;0;0;0
-1.35;-1.38;1;1;0;0;1;0;0;1;0;0
0.82;-1.07;1;1;0;1;0;1;0;1;0;0
1.3;-0.91;1;0;1;1;1;0;1;1;0;0
-0.61;0.29;1;1;1;1;0;0;1;0;1;0
-0.2;0.96;1;1;0;1;0;0;1;1;0;0
-0.4;-1.4;1;0;1;0;1;0;1;1;1;0
-1.56;-0.1;1;1;1;1;0;0;1;1;1;0
-1.08;0.68;0;0;0;1;0;0;1;1;1;0
0.69;0.61;1;0;0;0;1;0;0;0;1;0
0.28;-1.7;1;0;0;0;1;1;1;1;0;0
1.43;1.66;0;0;0;1;1;1;0;0;1;0
-1.35;-0.96;0;1;1;1;1;1;1;0;0;0
-0.95;-0.09;1;1;0;1;0;1;1;1;0;0
0.41;-0.97;0;1;1;1;0;1;0;1;0;0
-0.33;1.12;1;0;0;1;1;0;1;1;0;0
-0.95;-1.05;0;0;1;0;1;1;0;1;1;0
1.57;0.66;0;0;1;1;0;1;0;1;1;0
-0.81;1.54;1;1;1;0;0;1;1;0;1;0
-0.13;1.21;0;0;1;0;0;1;1;0;1;0
1.5;-1.31;0;1;0;1;1;1;0;1;0;0
0.41;-0.14;0;1;1;1;0;1;1;0;0;0
-1.29;-1.05;1;0;0;1;1;1;0;0;0;0
1.23;-1.53;1;1;0;1;1;0;1;1;0;0
1.16;1.13;1;0;0;0;0;1;0;1;1;0
1.09;0.75;1;0;1;1;0;1;0;1;0;0
0.48;0.51;0;0;1;0;0;1;1;0;1;0
-0.81;1.25;0;1;0;1;0;1;1;0;1;0
-0.13;-0.89;1;0;1;1;1;0;0;1;1;0
-0.2;0.49;1;0;0;0;1;1;0;1;0;0
-1.35;1.54;1;0;0;1;1;0;1;1;0;0
0.21;1.4;0;1;0;1;0;1;1;0;1;0
0.75;0.22;1;1;0;1;0;1;0;0;0;0
-0.88;0.15;1;1;0;0;0;1;0;1;0;0
0.14;-0.15;0;1;1;0;1;1;1;1;1;0
0.41;-0.58;0;0;1;1;1;0;0;1;1;0
-0.33;-0.22;1;1;0;0;1;0;0;0;1;0
-1.56;0.02;1;0;0;1;0;1;1;1;1;0
-0.47;-0.81;0;0;0;0;0;1;1;0;1;0
0.21;0.5;0;1;1;0;0;0;0;0;1;0
0.48;-1.49;0;0;1;0;0;0;1;0;0;1
-0.27;0.61;1;1;0;0;1;1;0;1;1;0
-1.01;1.41;0;0;1;1;1;1;0;0;1;0
-0.61;0.85;1;1;1;0;0;0;1;1;1;0
-1.42;0.81;0;1;1;0;1;0;1;1;1;0
-1.56;1.66;0;1;0;0;0;1;1;0;1;0
-0.4;1.13;1;1;1;1;0;1;0;1;0;0
0.35;1.23;0;1;1;1;0;1;0;1;0;0
-0.2;-1.21;0;0;1;1;0;0;0;1;1;0
1.09;-0.07;1;0;0;1;0;0;1;0;0;1
-0.4;-0.46;1;0;0;0;0;0;0;1;1;0
-0.27;1.01;0;0;0;0;0;1;0;1;1;0
-0.88;0.92;0;1;0;0;1;1;0;0;1;0
1.43;1.68;1;1;0;1;1;0;0;1;1;0
1.5;0.24;0;0;0;0;0;0;1;0;1;0
-0.74;-0.47;1;0;0;1;0;0;0;0;1;0
0.28;1.24;1;1;1;0;1;1;1;0;1;0
-1.49;-1.18;1;0;1;0;1;1;1;1;1;0
-1.22;0.33;0;0;1;1;0;0;1;1;0;0
-0.4;1.52;1;0;0;1;1;0;1;0;0;0
0.07;1.18;1;0;1;1;0;1;1;1;1;0
-1.29;0.36;1;0;1;0;0;0;0;0;0;0
-0.74;-0.28;1;1;0;0;0;0;1;0;0;0
0.48;-1.1;1;1;1;0;1;1;0;0;0;0
-0.54;-0.75;1;1;0;1;0;1;0;1;0;0
1.7;-1.09;0;0;1;1;1;1;1;1;1;0
-0.47;-0.41;1;0;1;1;1;1;1;1;1;0
1.3;1.2;1;0;1;0;1;1;1;0;1;0
-1.15;-0.71;1;1;0;1;0;0;0;0;0;0
-0.27;0.06;1;1;1;0;1;0;0;1;0;0
0.62;0.98;0;1;0;0;1;1;1;1;0;0
-0.06;-0.9;1;1;1;0;0;1;0;0;1;0
0.82;1.54;0;0;0;0;1;1;1;0;1;0
-1.08;0.82;1;0;1;0;0;1;0;1;1;0
0.21;0.3;1;1;0;0;1;1;1;0;1;0
-0.4;0.71;1;1;0;0;0;1;0;1;1;0
-0.67;0.89;1;1;0;0;1;1;1;0;1;0
-1.69;-1.04;0;1;0;1;1;0;1;1;1;0
-0.06;-1.61;1;0;0;1;1;1;0;0;0;0
-0.74;-0.68;0;1;1;0;1;1;0;1;1;0
1.64;-1.32;1;1;1;1;1;1;1;0;1;0
1.36;-1.68;0;0;1;1;0;1;1;1;1;0
-0.4;-0.45;0;0;1;1;0;0;0;0;1;0
1.7;-1.09;0;0;1;0;1;1;1;0;0;0
-1.56;-1.39;0;1;1;1;1;0;0;0;1;0
1.7;-0.71;0;0;0;0;0;0;0;0;1;0
-0.2;1.5;0;0;1;0;1;0;0;0;1;0
-1.56;0.97;1;1;1;1;0;1;1;0;0;0
1.16;0.49;1;0;1;0;0;1;0;0;0;0
1.36;-0.18;1;0;0;0;1;0;1;0;0;0
0.14;-1.23;0;0;0;1;1;0;0;1;0;0
0.48;0.25;1;1;1;0;1;1;1;1;0;0
1.7;0.32;1;1;0;1;1;0;0;1;1;0
-1.29;-0.84;0;1;0;1;1;1;0;1;0;0
1.09;-0.18;0;0;0;1;1;0;1;0;1;0
-0.88;-0.45;1;1;0;1;0;0;1;1;0;0
0.96;1.5;1;1;0;1;1;1;1;1;0;0
0.41;0.36;1;1;1;0;1;0;1;1;0;0
-0.54;-0.44;1;0;1;0;0;1;0;0;0;0
1.64;-1.04;0;0;1;0;0;1;1;1;0;0
1.36;0.42;1;0;0;0;0;1;0;0;0;0
-1.49;-0.7;0;0;0;0;0;1;0;1;0;0
1.03;-0.55;0;0;1;1;1;0;0;1;0;0
0.07;0.84;1;1;1;0;1;1;1;0;1;0
-1.69;1.62;1;0;1;0;0;0;1;0;0;0
-1.01;-0.2;1;1;1;0;0;1;0;0;1;0
1.5;-0.61;1;1;0;0;0;0;0;1;1;0
-1.63;0.59;1;1;1;1;0;0;0;0;1;0
0.89;-0.04;1;0;0;0;0;1;1;0;1;0
0.01;-1.58;0;0;1;1;1;1;1;1;1;0
0.55;-1.04;1;1;1;1;1;1;1;0;1;0
0.07;0.21;1;0;0;0;0;1;0;1;0;0
0.55;0.69;0;1;0;0;0;1;1;1;0;0
1.36;-0.3;1;0;1;1;1;1;1;1;1;0
0.01;0.49;0;0;0;1;1;1;0;1;0;0
-0.81;-0.12;1;0;0;1;1;0;1;0;1;0
-0.13;1.08;1;0;1;0;1;1;1;0;1;0
-1.01;0.11;0;0;1;0;1;1;0;0;1;0
-0.54;-1.11;1;1;1;0;0;0;0;0;1;0
0.48;0.88;1;1;1;1;1;1;0;1;0;0
0.28;0.23;1;1;0;0;0;0;1;1;1;0
-1.01;1.69;1;0;1;1;0;0;1;1;0;0
0.82;1.58;1;1;1;0;1;1;0;0;1;0
-0.47;0.88;1;0;1;1;1;1;0;1;0;0
1.16;1.01;1;1;0;1;1;1;0;1;1;0
-1.42;0.78;1;1;0;1;0;1;1;1;1;0
1.7;0.1;1;1;1;1;0;1;1;0;0;0
1.03;1.63;0;0;1;1;0;1;0;1;1;0
1.36;0.1;0;0;1;0;0;1;1;0;1;0
-0.54;-0.28;0;1;0;0;0;1;1;0;0;0
0.07;1.63;1;0;0;0;1;0;1;0;1;0
-1.08;1.24;0;0;1;0;1;0;1;1;0;0
0.21;-0.38;0;0;1;0;0;1;0;0;1;0
0.28;-0.72;1;1;1;0;1;1;0;0;0;0
0.21;0.23;1;1;1;1;0;0;1;1;0;0
-0.74;0.85;1;1;0;1;1;0;0;1;1;0
0.14;0.55;0;0;1;0;0;1;0;0;1;0
1.23;-1.54;0;1;0;1;0;0;0;0;0;1
-0.33;1.41;1;1;1;1;0;0;0;1;1;0
0.48;-0.63;1;0;1;0;1;0;1;0;1;0
0.21;1.57;0;0;1;1;1;1;1;0;0;0
-0.06;-1.31;1;0;1;1;0;1;0;0;1;0
0.89;1.11;1;0;1;0;1;1;1;1;0;0
1.03;-0.67;1;0;1;1;0;0;0;0;1;0
1.03;0.85;0;0;0;0;1;0;0;1;1;0
1.64;-1.63;0;1;1;1;1;1;0;1;1;0
0.62;0.39;0;0;1;1;1;1;1;1;0;0
0.35;1.37;1;1;0;0;1;0;1;1;1;0
0.07;0.04;1;1;1;1;1;1;0;1;0;0
-1.35;-1.71;1;0;0;1;0;0;1;0;1;0
1.43;0.34;1;0;1;1;1;0;0;0;1;0
1.16;0.7;1;1;0;0;1;1;1;0;1;0
1.5;-1.08;0;1;1;1;0;0;0;0;1;1
0.01;0.38;0;0;1;1;0;1;1;1;1;0
-0.47;-0.6;0;0;1;0;1;1;0;1;0;0
-1.08;0.66;1;1;1;1;0;1;1;1;0;0
-0.95;-1.67;1;0;1;1;0;1;0;1;1;0
0.07;-1.17;0;1;1;1;1;1;1;1;0;0
-1.29;0.43;0;0;1;1;0;1;0;0;0;0
-0.13;1.53;0;1;0;0;1;1;0;1;1;0
-1.63;1.52;0;1;0;0;0;1;1;1;0;0
1.5;-1.44;1;1;0;1;1;0;1;0;1;0
-1.69;1.16;0;0;1;1;0;1;1;0;1;0
0.82;0.1;1;0;0;0;0;0;1;0;0;0
0.62;-1.55;0;0;1;0;1;0;0;1;0;0
-0.61;0.14;0;1;1;0;1;0;0;1;0;0
0.96;-1.35;0;1;0;0;0;0;0;0;0;1
-1.42;-1.03;1;0;1;1;0;0;1;1;1;0
1.5;-1.53;0;1;0;1;0;0;1;0;1;0
1.09;0.11;0;0;0;1;0;0;1;0;0;1
-1.56;-0.74;1;0;0;0;0;1;1;0;1;0
-1.22;1.14;0;1;0;0;1;0;0;1;1;0
-1.08;1.29;0;0;1;0;1;1;1;1;1;0
-1.22;-0.94;1;1;0;1;0;1;1;1;0;0
1.57;-1.7;1;0;0;1;1;1;0;0;1;0
0.75;-1.12;0;0;1;1;0;0;1;0;0;1
0.28;0.81;0;1;0;1;1;1;0;1;0;0
0.48;-0.65;0;1;0;0;1;0;0;0;0;0
0.62;0.65;0;1;0;0;0;0;1;0;1;0
0.41;1.64;1;1;1;1;0;1;1;1;0;0
1.3;-1.03;0;1;0;1;1;0;1;0;1;0
-1.63;-0.81;1;1;1;1;1;1;0;0;0;0
0.41;-0.78;1;1;1;1;1;0;1;1;1;0
0.35;0.16;0;0;0;0;0;0;1;1;1;0
0.48;0.13;0;1;1;1;1;1;0;0;1;0
-0.95;0.55;0;0;1;0;1;0;1;1;0;0
0.69;0.48;1;0;1;1;0;1;0;1;1;0
0.35;0.14;1;0;0;0;0;0;0;1;0;0
0.14;1.2;1;1;1;1;0;1;1;1;1;0
-0.06;-0.8;0;1;0;1;1;1;1;0;0;0
-1.63;1.42;1;0;1;0;1;1;0;1;0;0
-1.49;-1;0;0;1;0;1;1;1;1;0;0
0.41;-1.09;0;1;0;0;0;0;0;0;1;0
1.3;-0.6;0;0;0;0;1;0;0;0;0;0
1.3;1.41;0;1;0;1;0;0;1;0;0;1
0.21;0.16;0;1;0;0;0;0;1;0;1;0
-1.08;-1.59;0;0;0;0;1;0;1;1;1;0
0.21;1.18;0;1;1;1;0;0;0;0;0;1
-0.81;-1.2;1;0;0;0;1;0;0;0;1;0
-1.22;-1.39;0;1;1;1;0;0;1;0;1;0
0.48;0.22;1;0;1;0;1;1;0;1;1;0
-0.74;-0.5;0;1;1;1;0;0;0;0;1;0
1.7;-0.83;0;1;1;0;1;1;0;1;0;0
-0.81;1.05;1;0;0;0;0;1;1;0;1;0
-1.01;-0.45;1;0;1;1;0;1;1;0;0;0
0.21;-0.66;1;0;0;0;1;1;0;0;1;0
-1.69;-1.6;0;1;1;0;1;0;1;1;1;0
0.89;0.08;0;1;0;0;1;1;1;0;1;0
-0.06;0.97;0;0;1;1;1;1;0;0;1;0
-0.74;-1.05;1;1;0;1;0;1;1;1;1;0
-0.54;-1.15;1;0;0;1;1;0;0;0;1;0
0.07;-1.2;1;0;1;1;0;0;1;1;1;0
1.5;1.19;1;1;0;0;1;0;0;0;1;0
0.96;-0.63;1;1;1;0;1;1;0;0;0;0
0.21;0.47;0;1;0;1;1;0;0;0;1;0
-0.33;-0.93;1;0;0;0;1;1;0;0;1;0
-0.06;0.48;1;0;0;0;0;0;1;1;0;0
1.57;1.35;1;0;0;1;0;0;0;1;1;0
-1.35;0.52;1;1;0;1;0;0;1;0;1;0
1.16;-0.61;0;0;1;0;0;0;0;1;0;1
-0.61;-0.9;0;1;0;0;1;1;1;1;1;0
0.01;0.25;1;1;1;0;1;0;0;0;0;0
-1.01;-0.17;1;0;0;0;0;1;1;0;0;0
0.35;0.47;1;1;1;0;0;1;0;1;0;0
-0.95;0.74;1;0;1;0;0;1;1;1;0;0
1.57;-1.23;1;1;1;0;0;1;0;0;1;0
-0.2;-0.28;0;1;1;0;1;0;0;0;1;0
0.07;-0.87;1;0;0;1;1;1;0;1;0;0
-1.01;1.5;0;0;0;1;0;0;0;1;1;0
0.75;-0.74;1;1;1;1;0;0;0;1;1;0
-1.22;0.09;0;1;0;1;1;0;0;1;1;0
-1.49;0.04;1;1;1;0;0;1;0;0;1;0
0.41;1.29;0;1;0;0;1;0;1;0;1;0
-1.15;1.11;1;0;0;0;0;0;1;1;0;0
1.09;0.36;0;1;1;1;1;1;0;1;1;0
-0.47;1.26;1;0;0;0;1;1;1;0;0;0
-0.06;-1.37;0;1;1;1;1;1;0;1;1;0
1.43;-0.82;1;0;1;0;0;1;1;1;1;0
0.28;-0.24;0;0;0;0;1;0;1;0;0;0
1.5;-0.31;1;0;0;1;0;1;0;1;0;0
1.23;-0.84;1;1;1;0;0;0;1;1;0;0
-1.63;-0.17;1;1;0;0;1;0;1;1;0;0
0.14;-0.61;1;0;1;1;0;1;0;0;1;0
1.03;1.54;0;0;0;0;0;1;0;0;0;0
0.69;-1.03;1;0;0;1;1;1;0;1;0;0
0.55;-1.44;1;0;1;0;0;1;1;1;0;0
0.01;-1.67;0;0;1;0;1;1;1;1;0;0
-0.2;-0.74;1;1;0;0;0;0;1;1;0;0
-1.22;-0.45;1;1;1;1;1;0;1;1;1;0
-0.4;1.02;0;0;0;0;0;0;0;1;1;0
-1.15;0.02;0;1;0;0;0;0;0;0;1;0
0.55;0.3;1;1;0;1;0;1;0;1;1;0
0.14;1.65;0;1;1;1;0;1;0;1;0;0
0.75;1.19;0;0;1;0;1;1;1;1;1;0
0.55;-0.21;0;0;0;0;0;1;1;0;0;0
-0.61;-0.72;1;0;1;0;0;0;0;0;0;0
-1.15;-0.91;1;1;1;1;1;0;1;1;1;0
-0.06;-0.74;1;0;1;0;1;0;0;0;0;0
1.3;1.71;1;1;0;0;0;1;0;0;1;0
0.14;-0.74;0;1;1;0;0;1;1;1;0;0
-0.47;1.35;1;1;1;1;1;0;1;1;1;0
-0.67;-1.4;0;0;0;1;1;0;1;1;1;0
-0.06;-0.98;1;1;0;1;1;0;0;1;0;0
-1.56;1.01;1;1;1;1;1;0;0;1;0;0
-0.4;-1.67;1;0;0;0;0;0;1;1;0;0
0.55;1.21;0;1;1;0;0;0;0;0;0;1
0.48;-0.66;1;0;1;0;0;1;0;1;1;0
-0.61;0.94;1;0;0;0;1;0;0;1;0;0
-1.42;-0.2;1;1;0;1;1;0;0;1;1;0
0.96;1.29;0;1;0;0;1;0;0;1;1;0
0.07;0.07;1;0;1;0;0;0;1;0;1;0
-1.22;1.65;0;0;1;0;0;0;0;0;0;0
-0.2;1.04;1;1;1;0;0;0;1;0;1;0
0.07;-0.57;0;1;0;0;1;1;0;1;0;0
-0.74;1.46;1;1;1;0;0;1;1;1;1;0
1.36;-0.2;0;0;0;0;1;0;0;0;1;0
1.23;-0.71;0;1;1;1;0;0;0;0;1;0
-0.95;-0.41;1;0;0;1;1;0;1;1;0;0
-1.01;-0.39;1;1;0;0;0;0;0;1;1;0
-0.74;1.63;1;0;1;1;0;1;0;1;0;0
1.7;-0.54;1;0;1;0;1;1;0;0;1;0
1.7;-0.08;1;1;1;0;0;1;0;1;0;0
1.09;-1.68;1;1;0;0;1;0;0;1;0;0
1.64;0.55;1;1;0;1;0;0;0;1;1;0
0.48;0.13;1;1;0;0;0;1;0;0;0;0
-1.69;-1.65;1;0;1;1;1;1;1;1;0;0
1.03;0.37;0;1;1;1;0;1;1;1;1;0
1.7;1.33;0;1;0;1;1;0;0;1;1;0
0.07;-1.4;1;1;1;0;0;0;1;0;1;0
1.09;-1.05;0;1;0;1;0;0;1;0;1;0
0.75;0.7;0;1;0;1;0;0;0;1;0;0
-0.47;0.94;1;1;1;0;1;0;1;0;1;0
1.03;0.99;1;0;1;1;0;1;0;1;1;0
-1.63;-0.22;0;0;1;0;0;0;0;0;0;0
0.14;-1.24;0;0;0;0;1;1;0;1;0;0
0.35;-1.57;0;0;1;0;1;1;0;0;1;0
0.55;-1.17;0;0;1;1;0;1;0;0;1;0
-1.22;-0.75;0;1;0;0;1;1;0;1;0;0
1.5;1.06;1;1;1;0;1;0;1;1;1;0
1.5;-0.05;0;1;1;0;1;1;0;0;0;0
-0.27;1.5;1;1;0;0;0;0;1;0;1;0
0.96;-0.46;1;0;0;1;0;0;1;0;0;1
-0.47;0.58;0;0;1;0;0;0;0;1;0;0
0.62;0.8;0;0;1;0;0;1;1;0;0;0
-0.47;1.01;0;1;0;1;0;1;0;0;0;0
-0.47;-0.3;1;1;1;0;0;0;0;0;1;0
-1.15;-0.88;0;1;0;1;1;1;0;1;1;0
0.48;-0.68;0;0;1;1;0;0;0;0;0;1
1.43;-0.54;1;0;0;0;1;1;1;1;1;0
-0.74;0.74;0;1;0;1;0;0;1;1;1;0
-1.22;-0.8;1;1;0;0;0;0;0;1;1;0
-0.67;-0.27;0;0;1;0;0;0;0;1;0;0
1.36;1.32;1;0;0;0;0;0;0;0;0;1
1.36;-0.78;1;0;1;1;0;1;1;1;0;0
1.64;0.05;1;0;1;0;1;0;1;0;1;0
-0.27;0.6;1;1;0;0;0;0;0;0;1;0
0.62;1.39;1;0;1;0;0;0;0;1;1;0
-1.29;-1.14;1;1;1;0;1;1;1;1;1;0
-0.81;0.12;0;1;0;0;0;1;1;1;1;0
1.5;-1.51;0;1;1;1;1;0;0;0;1;0
0.35;-0.42;1;0;0;1;1;0;0;0;0;0
-1.35;0.68;0;0;0;1;1;1;0;0;1;0
1.09;1.56;0;0;1;1;1;1;1;0;1;0
-1.01;-0.66;0;1;1;0;1;0;1;0;1;0
1.3;-0.13;1;1;1;1;0;1;0;1;1;0
0.82;1.49;1;0;0;1;1;0;0;1;1;0
-0.54;1.37;0;0;0;0;1;1;1;1;0;0
1.43;1.04;0;1;0;0;0;0;1;0;0;1
-0.67;1.7;0;0;1;1;0;1;0;0;1;0
0.21;-1.29;1;0;0;0;1;0;0;0;0;0
0.89;-0.67;0;0;1;0;1;1;0;0;0;0
0.62;-0.4;1;0;1;0;0;0;0;0;1;0
1.5;-0.63;1;1;0;1;1;0;1;1;1;0
-0.61;-0.18;0;1;0;0;1;0;0;1;1;0
0.96;-1.38;0;0;1;1;1;1;1;1;1;0
-0.61;0.73;1;0;0;0;1;1;0;0;1;0
